codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_datahora,ocorrencia_datahora
201006271616323,INCIDENTE,COM LANÇAMENTO DE CARGA,OUTROS,OTHR,-4.8817,-66.8966,CARAUARI,AM,BRASIL,****,2010-06-27,17:45:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/27 17:45,2010/06/27 17:45
201003097007272,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2010-03-09,19:18:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/03/09 19:18,2010/03/09 19:18
201004217369938,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2010-04-21,12:52:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/04/21 12:52,2010/04/21 12:52
201003264949508,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-16.3625,-48.9281,ANÁPOLIS,GO,BRASIL,****,2010-03-26,10:45:00,NULL,FINALIZADA,A-082/CENIPA/2011,SIM,2011-09-23,4,1,NÃO,2019-01-30,2010/03/26 10:45,2010/03/26 10:45
200811281494947,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-16.3625,48.9281,ANÁPOLIS,GO,BRASIL,SWNS,2008-11-28,20:50:00,NULL,FINALIZADA,A-086/CENIPA/2010,SIM,2010-11-12,3,1,NÃO,2019-01-30,2008/11/28 20:50,2008/11/28 20:50
201004076747201,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-16.3625,-48.9114,ANÁPOLIS,GO,BRASIL,SWNS,2010-04-07,19:30:00,NULL,ATIVA,IG-533/CENIPA/2018,NÃO,NULL,0,1,SIM,2019-01-30,2010/04/07 19:30,2010/04/07 19:30
200804217476291,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-4.1339,-63.1311,COARI,AM,BRASIL,SWKO,2008-04-21,19:00:00,NULL,FINALIZADA,A-031/CENIPA/2010,SIM,2010-05-05,9,1,SIM,2019-01-30,2008/04/21 19:00,2008/04/21 19:00
201006021505338,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-4.0842,-63.1422,COARI,AM,BRASIL,****,2010-06-02,19:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/02 19:00,2010/06/02 19:00
201006276442081,INCIDENTE,COM LANÇAMENTO DE CARGA,OUTROS,OTHR,-4.0842,-63.1422,COARI,AM,BRASIL,****,2010-06-27,12:20:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2010/06/27 12:20,2010/06/27 12:20
201001078669978,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-4.8831,-65.3558,COARI,AM,BRASIL,SBUY,2010-01-07,18:40:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,SIM,2019-01-30,2010/01/07 18:40,2010/01/07 18:40
